<Saved_Search_Name>,<Search_Type>,<Schedule>,<Index_Source>,<Eval>,<Lookup_Table>,<Indicator_Type_Name>,<Field_Matches>,<Earliest_Latest>,<Group_By>
CRITS_Apache_IP,LookupTableSearch,1,index=apache*,,detect_addressipv4addr,Address - ipv4-addr,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_Apache_Path,LookupTableSearch,2,index=apache*,,detect_uripath,URI - Path,uri_path,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_Apache_UserAgent,LookupTableSearch,3,index=apache*,,detect_urihttpuseragent,URI - HTTP - UserAgent,useragent,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_Authentication_Radius_IPAddress,LookupTableSearch,4,index=radius,,detect_addressipv4addr,Address - ipv4-addr,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_Authentication_Radius_User_Name,LookupTableSearch,5,index=radius,,detect_account,Account,User_Name,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_AV_Hash_SHA2,LookupTableSearch,6,index=av_logs,,detect_hashsha256,Hash - SHA256,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_AV_Hash_SHA1,LookupTableSearch,7,index=av_logs,,detect_hashsha1,Hash - SHA1,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_AV_Streetname,LookupTableSearch,8,index=av_logs,,detect_antivirusstreetname,Antivirus - Streetname,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_AV_URI_Domain,LookupTableSearch,9,index=av_logs,,detect_uridomainname,URI - Domain Name,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_AV_Windows_FileName,LookupTableSearch,10,index=av_logs,,detect_windowsfilename,Windows - FileName,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_AV_Windows_FilePath,LookupTableSearch,11,index=av_logs,,detect_windowsfilepath,Windows - FilePath,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_BRO_HTTP_IP,LookupTableSearch,12,index=bro sourcetype=bro_http,"| rex field=proxied ""X-FORWARDED-FOR -> (?<proxied_ipv4>.+)""",detect_addressipv4addr,Address - ipv4-addr,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_CB_Alert_FileName,LookupTableSearch,13,index=carbonblack,"""feed.storage.hit.binary"" | search notification_type=""feed.storage.hit.binary""",detect_windowsfilename,Windows - FileName,,_index_earliest=-72m _index_latest=-10m,ObjectID
